vOTU,GENOME_LENGTH,GENOME_COVERAGE,NEAR_COMPLETE,ORDER,FAMILY,GENUS,NOVEL_GENUS,SPECIES,NOVEL_SPECIES,HOST_GENBANK_ACCESSION,HOST_GENUS,HOST_NAME,VC,SUBCLUSTER,REF_PHAGES_IN_VC,VC_IDENTITY,C1RH_J,C1RH_M,C1RH_N,C1RO_J,C1RO_M,C1S_J,C1S_M,C1S_N,C2RH_J,C2RH_M,C2RH_N,C2RO_J,C2RO_M,C2RO_N,C2S_J,C2S_M,C2S_N,C3RH_J,C3RH_M,C3RH_N,C3RO_J,C3RO_M,C3RO_N,C3S_J,C3S_M,C3S_N,C4RH_J,C4RH_M,C4RH_N,C4RO_M,C4RO_N,C4S_J,C4S_M,C4S_N,V1RH_J,V1RH_M,V1RH_N,V1RO_J,V1RO_N,V1S_J,V1S_M,V1S_N,V2RH_J,V2RH_N,V2RO_M,V2RO_N,V2S_J,V2S_M,V2S_N,V3RH_J,V3RH_M,V3RH_N,V3RO_J,V3RO_M,V3RO_N,V3S_J,V3S_M,V3S_N,V4RH_J,V4RH_M,V4RH_N,V4RO_J,V4RO_M,V4RO_N,V4S_J,V4S_M,V4S_N
ssRNA_86927,1378,2.590737,NO,Norzivirales,Fiersviridae,Genus_201,YES,Species_1566,YES,GCA_002859145.1,Candidatus,Candidatus Hodgkinia cicadicola,2350,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_60722,2601,6.246063,YES,Timlovirales,Steitzviridae,Genus_171,NO,Species_539,YES,NA,NA,NA,2064,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_47216,3009,3.158073,NO,Norzivirales,Atkinsviridae,Genus_678,NO,Species_2303,YES,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
ssRNA_99454,3053,7.274064,YES,Timlovirales,Steitzviridae,Genus_11,NO,Species_2971,YES,NA,NA,NA,1847,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_86804,3581,288.414773,YES,Norzivirales,Fiersviridae,Genus_699,YES,Species_2059,YES,NA,NA,NA,1786,0,NO,OUTLIER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_45626,3652,21.654971,YES,Timlovirales,Steitzviridae,Genus_529,YES,Species_1665,YES,NA,NA,NA,1948,0,NO,OUTLIER,5,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_127638,3671,5.430748,NO,Norzivirales,Fiersviridae,Genus_532,YES,Species_1769,YES,NA,NA,NA,2628,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_135484,3694,6.603576,YES,Timlovirales,Steitzviridae,Genus_11,NO,Species_82,YES,NA,NA,NA,1707,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_25034,3861,502.336928,YES,Timlovirales,Steitzviridae,Genus_189,NO,Species_1394,NO,NA,NA,NA,1551,0,NO,OUTLIER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_97972,3877,11.842767,YES,Timlovirales,Steitzviridae,Genus_189,NO,Species_1544,YES,NA,NA,NA,1634,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,2,2,0,0,0,0,0,1,0,4
ssRNA_51624,3911,8.255584,YES,Timlovirales,Steitzviridae,Genus_377,YES,Species_1026,YES,NA,NA,NA,2231,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_23455,3927,13.03673,NO,Timlovirales,Steitzviridae,Genus_151,YES,Species_1055,YES,NA,NA,NA,2957,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_101734,4487,41.419566,YES,Norzivirales,Atkinsviridae,Genus_600,YES,Species_1841,YES,NA,NA,NA,1689,0,NO,VC,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_140229,1176,3.724664,NO,Timlovirales,Steitzviridae,Genus_104,NO,Species_291,YES,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_50418,2582,12.924296,NO,Timlovirales,Steitzviridae,Genus_57,YES,Species_173,YES,NA,NA,NA,2290,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_55284,3241,4.727673,YES,Timlovirales,Steitzviridae,Genus_379,NO,Species_1030,YES,NA,NA,NA,2649,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_122908,3530,14.244022,YES,Norzivirales,Fiersviridae,Genus_553,NO,Species_2366,YES,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_86805,3581,269.289205,YES,Norzivirales,Fiersviridae,Genus_699,YES,Species_2059,YES,NA,NA,NA,1786,0,NO,OUTLIER,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_128763,3693,33.645294,YES,Norzivirales,Fiersviridae,Genus_920,NO,Species_2784,YES,NA,NA,NA,2085,0,NO,OUTLIER,0,0,33,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,46,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,19
ssRNA_86873,3712,47.571859,YES,Norzivirales,Fiersviridae,Genus_964,YES,Species_2700,YES,NA,NA,NA,1743,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_83526,3724,9.950614,YES,Norzivirales,Fiersviridae,Genus_435,YES,Species_2147,YES,NA,NA,NA,2089,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
ssRNA_25035,3861,475.309048,YES,Timlovirales,Steitzviridae,Genus_189,NO,Species_1394,NO,NA,NA,NA,2066,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2
ssRNA_51625,3911,6.775325,YES,Norzivirales,Fiersviridae,Genus_625,YES,Species_1910,YES,NA,NA,NA,1692,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_78376,3934,4.626646,YES,Norzivirales,Fiersviridae,Genus_870,NO,Species_2495,YES,NA,NA,NA,2014,0,NO,OUTLIER,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_101792,4017,674.982305,YES,Timlovirales,Steitzviridae,Genus_46,YES,Species_154,YES,NA,NA,NA,1702,0,NO,VC,22,45,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10275,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_24542,1893,3.045802,NO,Timlovirales,Steitzviridae,Genus_153,YES,Species_2997,YES,NA,NA,NA,2945,0,NO,VC,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_128892,2844,44.87208,YES,Norzivirales,Fiersviridae,Genus_734,NO,Species_2145,YES,NA,NA,NA,1623,0,NO,OUTLIER,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_55285,3239,5.31309,YES,Norzivirales,Atkinsviridae,Genus_678,NO,Species_2343,YES,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_122909,3529,7.256484,YES,Norzivirales,Fiersviridae,Genus_950,YES,Species_2783,YES,NA,NA,NA,1798,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ssRNA_127639,3669,6.471175,NO,Timlovirales,Steitzviridae,Genus_189,NO,Species_1697,YES,NA,NA,NA,1805,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
ssRNA_9058,3762,36.858417,YES,Norzivirales,Atkinsviridae,Genus_693,YES,Species_2042,YES,NA,NA,NA,1603,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,1,0,1
ssRNA_25036,3860,29.460668,NO,Timlovirales,Steitzviridae,Genus_205,YES,Species_498,YES,NA,NA,NA,2416,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_29406,3863,11.318349,YES,Timlovirales,Steitzviridae,Genus_61,NO,Species_1555,YES,NA,NA,NA,2172,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_51626,3909,6.825624,YES,Timlovirales,Steitzviridae,Genus_134,YES,Species_2941,YES,NA,NA,NA,2566,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,30,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_78377,3934,3.37387,YES,Norzivirales,Fiersviridae,Genus_484,YES,Species_2397,YES,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_28555,4189,5.565649,YES,Timlovirales,Steitzviridae,Genus_203,YES,Species_134,YES,NA,NA,NA,1929,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_128893,2844,42.413582,YES,Norzivirales,Fiersviridae,Genus_734,NO,Species_2145,YES,NA,NA,NA,1623,0,NO,OUTLIER,6,0,0,0,0,0,0,0,14,0,0,15,0,0,0,0,0,5,2,0,3,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_113118,3542,4.798334,YES,Norzivirales,Fiersviridae,Genus_530,YES,Species_2178,YES,NA,NA,NA,2133,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,12,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
ssRNA_86806,3577,7.746303,YES,Norzivirales,Solspiviridae,Genus_583,YES,Species_2138,YES,NA,NA,NA,1803,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_127640,3669,5.271341,YES,Timlovirales,Steitzviridae,Genus_189,NO,Species_1576,YES,NA,NA,NA,1609,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,39,0,0,0,0,0,16,0,19
ssRNA_62994,3674,6.100194,YES,Timlovirales,Steitzviridae,Genus_620,YES,Species_1898,YES,NA,NA,NA,3183,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
ssRNA_40533,3766,6.887989,YES,Timlovirales,Steitzviridae,Genus_479,YES,Species_1454,YES,NA,NA,NA,1825,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ssRNA_25037,3859,10.832105,YES,Norzivirales,Fiersviridae,Genus_211,NO,Species_1772,YES,NA,NA,NA,2428,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_51627,3907,5.547842,YES,Norzivirales,Fiersviridae,Genus_715,NO,Species_2722,YES,NA,NA,NA,2547,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_78378,3933,6.731921,YES,Timlovirales,Steitzviridae,Genus_318,YES,Species_1640,YES,NA,NA,NA,2950,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_101735,4477,56.179348,YES,Timlovirales,Steitzviridae,Genus_185,NO,Species_786,YES,NA,NA,NA,1690,0,NO,VC,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_117598,4629,15.401926,NO,Timlovirales,Blumeviridae,Genus_71,YES,Species_293,YES,NA,NA,NA,2299,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_115899,3384,6.086316,YES,Norzivirales,Fiersviridae,Genus_498,NO,Species_2471,YES,GCA_002844315.1,Candidatus,Candidatus Hodgkinia cicadicola,2228,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_86807,3576,17.871693,YES,Norzivirales,Fiersviridae,Genus_740,NO,Species_2549,YES,NA,NA,NA,2870,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_45627,3648,7.264845,NO,Norzivirales,Fiersviridae,Genus_330,NO,Species_876,YES,GCA_002844065.1,Candidatus,Candidatus Hodgkinia cicadicola,3156,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
