VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
VC_1006_1,3,900,10559.07839,0.078540348,0.001883542,2.236067977,7.937253933,3,3,1,6.015776595,2,2,2,"Gordonia~phage~OneUp,KU998245,MK524501"
VC_1007_0,2,300,3307.695146,0.083155585,0.049626938,4.242640687,4.242640687,1,1,1,4.242640687,2,2,2,"Gordonia~phage~Yvonnetastic,KU963248"
VC_1008_0,2,300,710.9928495,0.296738004,0.044544623,3.741657387,3.741657387,1,1,1,3.741657387,1,1,1,"MH651182,MK967378"
VC_1008_1,2,298.3358076,1242.950611,0.19356286,0.044153638,4.795831523,4.795831523,1,1,1,4.795831523,1,1,1,"MH976515,MN444870"
VC_1009_0,36,106762.8186,6539.20528,0.942285186,1.22E-255,0,8.94427191,630,630,1,6.678360067,1,2,2,"Gordonia~phage~Blueberry,Gordonia~phage~CaptainKirk2,Gordonia~phage~CarolAnn,Gordonia~phage~Guacamole,Gordonia~phage~Obliviate,Gordonia~phage~UmaThurman,Gordonia~phage~Utz,KU963251,KU963254,KU963259,KU998236,KU998248,KX557274,KX557275,MF919521,MH020241,MH153808,MH536818,MH576969,MK501729,MK501730,MK801721,MK801724,MK814757,MK864263,MK878896,MK919470,MK967389,MN010762,MN062704,MN096365,MN234161,MN234179,MN369740,MN585963,MN586031"
VC_100_0,2,300,1876.354376,0.137845198,0.043793751,4.358898944,4.358898944,1,1,1,4.358898944,1,1,1,"MK504443,MK504446"
VC_1010_0,2,233.1280515,404.8012709,0.365444953,0.045173854,1.414213562,1.414213562,1,1,1,1.414213562,1,2,2,"Gordonia~phage~GMA1,KR053195"
VC_1011_0,2,288.3285859,110.8359287,0.722330205,0.064442537,1,1,1,1,1,1,1,2,2,"JN116823,Rhodococcus~phage~REQ2"
VC_1012_0,2,259.5908377,330.3464885,0.440031214,0.050148627,2,2,1,1,1,2,1,2,2,"KR053196,Tsukamurella~phage~TPA4"
VC_1013_0,4,902.8736294,672.8766696,0.572980142,3.59E-05,1.732050808,4.795831523,6,6,1,3.947753836,2,2,2,"Gordonia~phage~Nyceirae,KX557282,MK524505,MK814750"
VC_1014_0,1,0,3282.320115,0,0,0,0,1,1,1,0,1,1,1,MK937607
VC_1015_0,28,81808.96571,25926.78504,0.759348361,1.78E-119,1,7.211102551,378,378,1,5.45826682,2,2,2,"Gordonia~phage~Brandonk123,Gordonia~phage~Lennon,Gordonia~phage~Vivi2,KU963250,MF919514,MG812487,MH153809,MH450129,MH479924,MH651166,MH651168,MH976506,MH976507,MH976508,MH976509,MH976510,MH976511,MH976512,MH976513,MH976514,MH976518,MH976519,MK937594,MK937601,MK967396,MK977702,MN329673,MN329677"
VC_1018_0,18,37474.89253,1381.89672,0.964436158,2.68E-61,2.449489743,7.549834435,153,153,1,5.187124359,2,2,2,"Gordonia~phage~Twister6,Gordonia~phage~Wizard,KU998234,KX557286,MH479910,MH479917,MH669015,MK305889,MK814761,MK864264,MK864265,MK864266,MK864267,MK937603,MK967381,MN010760,MN284907,MT310872"
VC_1019_0,26,44642.5475,5358.542109,0.892831493,3.01E-78,0,7.810249676,325,325,1,5.709879161,2,2,2,"Gordonia~phage~Cozz,Gordonia~phage~Emalyn,Gordonia~phage~GTE2,Gordonia~phage~Troje,HQ403646,KF879862,KU963260,KU998239,MG770215,MH271302,MH450132,MK279900,MK875791,MK875795,MK967383,MK967385,MN062716,MN234215,MN284906,MN310549,MN444871,MN444878,MN586015,MN586036,MN586049,MN586057"
VC_101_0,28,23046.08032,5425.032816,0.80945484,3.14E-107,0,2.828427125,378,378,1,1.811371456,3,2,2,"AB626962,AB626963,AF513032,AF513033,AY954949,EU136189,HF937074,KJ210330,KM366100,KU992911,KY000084,KY000085,MG766218,MG766219,MH107118,MH972260,MK764384,MK903033,MN098325,MN150710,Staphylococcus~phage~66,Staphylococcus~phage~BP39,Staphylococcus~phage~GRCS,Staphylococcus~phage~P68,Staphylococcus~phage~S24-1,Staphylococcus~phage~SAP-2,Staphylococcus~phage~SLPW,Staphylococcus~virus~44AHJD"
VC_1020_0,2,205.7655888,94.66176069,0.684909643,0.055736379,1,1,1,1,1,1,1,2,2,"JN116824,Rhodococcus~phage~REQ3"
VC_1021_0,2,222.7074361,0,1,0,1.732050808,1.732050808,1,1,1,1.732050808,1,2,2,"Gordonia~phage~GMA4,KR053199"
VC_1022_0,2,300,596.8967224,0.334486672,0.105649774,1.414213562,1.414213562,1,1,1,1.414213562,2,2,2,"Gordonia~phage~GMA6,KR063280"
VC_1022_1,2,300,621.3610849,0.325605243,0.105649774,2.645751311,2.645751311,1,1,1,2.645751311,1,1,1,"MK279853,MN586022"
VC_1023_0,6,4145.215369,185.5349667,0.957158702,8.30E-10,0,2.449489743,15,15,1,1.376602154,1,1,1,"MH271292,MH271301,MK737941,MK801731,MK801732,MN497954"
VC_1024_0,2,18.94563603,63.48870106,0.229826996,0.064161136,2.236067977,2.236067977,1,1,1,2.236067977,1,2,1,"HG007973,Stenotrophomonas~phage~SMA7"
VC_1025_0,2,31.88924687,30.76199828,0.508996219,0.081867177,1,1,1,1,1,1,1,2,1,"HM150760,Stenotrophomonas~phage~phiSHP2"
VC_1026_0,4,854.2453526,60.66541734,0.933692531,0.000687796,1,6.557438524,6,6,1,4.653674026,1,1,1,"KP282679,KP282680,Sulfolobales~Virus~YNP2,Sulfolobales~virus~YNP1"
VC_1027_0,5,1593.136186,208.8237342,0.884112997,0.001165601,0,1.414213562,10,10,1,0.741421356,2,2,2,"KR935216,KR935217,KT253150,Rhodobacter~phage~RcCronus,Rhodobacter~phage~RcRhea"
VC_1028_0,15,31362.73612,85522.60714,0.26832052,3.89E-62,2,5.916079783,105,105,1,4.195922654,2,2,2,"HM152763,JF704108,JF704113,JN600672,MF185726,MH744425,MK279905,MK310144,MK494092,MK494100,MN096382,MN586018,MN586023,MN617841,Mycobacterium~virus~Bron"
VC_1028_1,14,27273.89706,81069.6448,0.251735328,9.11E-55,0,6.480740698,91,91,1,4.531824518,2,2,2,"KF024725,KT281791,KT281794,KT372003,MF140405,MF140413,MF140414,MF140421,MH727559,MK878900,MN096377,Mycobacterium~phage~Lolly9,Mycobacterium~phage~Snenia,Mycobacterium~phage~Whirlwind"
VC_1029_0,29,121449.2065,99259.20382,0.550269953,7.97E-193,0,7.211102551,406,406,1,4.43745155,2,2,2,"JF744988,JN680858,KC661276,KC691254,KF024731,KT591489,KU234099,KU997639,KX507361,KX580961,KX580962,MF140422,MF185728,MF185730,MF324910,MH779511,MH834600,MK937600,MN096380,MN234228,MN586030,MN586052,MN703406,MN703410,Mycobacterium~phage~Archie,Mycobacterium~phage~Crossroads,Mycobacterium~phage~Gardann,Mycobacterium~virus~Faith1,Mycobacterium~virus~Rumpelstiltskin"
VC_102_0,2,72.38060727,328.8024387,0.180417911,0.043918628,1,1,1,1,1,1,2,2,2,"AY212251,Streptococcus~virus~C1"
VC_1030_0,50,330507.4519,133531.5944,0.712240607,0,0,6.633249581,1225,1225,1,4.414973393,3,2,2,"HM152764,HM152767,JF704105,JF704106,JN185608,JN643714,KJ567045,KM677211,KX585253,KX641264,KX657794,KX657795,KX657796,KY380102,MF140412,MF140428,MF140430,MF377440,MF472892,MF668267,MF919532,MG962364,MG962371,MH001453,MH051246,MH077577,MH371113,MH509444,MH513977,MH536821,MH536822,MH697578,MH727544,MK016503,MK112537,MK460247,MN234182,MN234197,MN234198,MN234205,MN234230,MN234231,MN369742,MN369746,MN908692,Mycobacterium~phage~BarrelRoll,Mycobacterium~phage~Murucutumbu,Mycobacterium~virus~Anaya,Mycobacterium~virus~Angelica,Mycobacterium~virus~Crimd"
VC_1031_0,4,905.67149,420.3635029,0.682992149,4.57E-05,1,5.385164807,6,6,1,3.995306561,1,2,2,"HM588722,KF302032,KF302033,Pseudoalteromonas~phage~H105/1"
VC_1032_0,3,410.6372579,366.9075328,0.52812039,0.002100806,1.414213562,7.071067812,3,3,1,5.137828202,1,2,2,"KF302036,KX365748,Pseudoalteromonas~phage~BS5"
VC_1033_0,6,1225.025967,1170.826005,0.511311208,2.49E-10,0,7.745966692,15,15,1,6.512994089,1,2,2,"KR060090,KX912252,KY379511,MF370965,MT002875,Pseudoalteromonas~phage~Pq0"
VC_1034_0,2,206.2099458,0,1,0,1,1,1,1,1,1,2,2,2,"HQ225832,Tetrasphaera~phage~TJE1"
VC_1035_0,2,22.18011428,0,1,0,0,0,1,1,1,0,1,2,1,"HQ264138,Microviridae~phi-CA82"
VC_1036_0,4,1800,3.642183399,0.997980651,0.008188654,0,7.937253933,6,6,1,5.437087269,1,1,1,"HQ316582,MG592662,MG592672,Vibrio~phage~henriette~12B8"
VC_1037_0,3,900,3678.449297,0.196573106,0.002082565,1,4.242640687,3,3,1,3.121915438,1,2,2,"HQ316604,KX198615,Vibrio~phage~SIO-2"
VC_1037_1,3,651.5817719,3375.834515,0.161786546,0.002139231,0,6.8556546,3,3,1,4.5704364,1,1,1,"KY022433,MH925091,MN871506"
VC_1037_2,6,3153.844119,4844.386758,0.394317714,2.84E-07,0,8.774964387,15,15,1,7.013274819,1,1,1,"JF713456,MG592585,MG592586,MG720309,MK559459,MN794238"
VC_1038_0,3,900,312.1893515,0.742458263,0.001824659,2.236067977,3.16227766,3,3,1,2.544804538,2,2,2,"JQ067090,KU245542,Pseudomonas~phage~SM1"
VC_1039_0,2,300,63.19779028,0.825996215,0.054101423,1,1,1,1,1,1,1,2,2,"KF614509,Rhizobium~phage~vB_RleS_L338C"
VC_103_0,2,93.31061702,422.6824615,0.180836955,0.042160443,0,0,1,1,1,0,1,2,2,"KJ528544,Lactoccocus~phage~WP-2"
VC_1040_0,3,900,579.0318951,0.608506147,0.002154174,1.732050808,4,3,3,1,3.201678051,2,2,2,"MG189906,MT110073,Stenotrophomonas~phage~vB_SmaS_DLP_5"
VC_1041_0,4,908.2650129,399.6318535,0.694446968,0.001207324,2.828427125,5.099019514,6,6,1,4.410185632,1,1,1,"HQ317386,MG592522,MG640035,Vibrio~phage~VBM1"
VC_1042_0,2,212.3452006,1348.500078,0.136045003,0.046415654,0,0,1,1,1,0,1,2,2,"KM199771,Mesorhizobium~phage~vB_MloP_Lo5R7ANS"
VC_1043_0,8,3679.63487,3653.544064,0.501778956,5.41E-18,0,5.385164807,28,28,1,3.280088221,1,1,1,"MF979559,MG711516,MK984681,MN270889,MN270890,MN685189,MN685190,MN685191"
VC_1044_0,15,8083.669189,4652.210305,0.634716212,2.05E-53,1,8,105,105,1,6.330256389,1,2,2,"KC465900,KC465901,MH579717,MH598798,MH598799,MH598800,MH598801,MH598802,MH598803,MH598804,MH598805,MH598806,MH598807,Pelagibacter~phage~HTVC011P,Pelagibacter~phage~HTVC019P"
VC_1045_0,8,2647.193315,0,1,0,0,5,28,28,1,3.602141703,1,2,2,"HQ377372,HQ377373,JF773396,KX879601,KX879602,KY661963,Liberibacter~phage~SC1,Liberibacter~phage~SC2"
VC_1046_0,2,278.0021525,0,1,0,0,0,1,1,1,0,1,2,2,"HQ396194,Riemerella~phage~RAP44"
VC_1047_0,2,198.5806829,46.31201571,0.81088854,0.070789432,0,0,1,1,1,0,1,1,1,"HQ632857,HQ632858"
VC_1048_0,2,4.854437787,35.00856491,0.121778026,0.5,6.08276253,6.08276253,1,1,1,6.08276253,1,1,1,"dsDNA_phage_148,dsDNA_phage_305"
VC_1049_0,4,177.7300924,173.5503081,0.505949356,0.010110794,1.414213562,3.464101615,6,6,1,2.777828685,1,1,1,"dsDNA_phage_203,dsDNA_phage_241,dsDNA_phage_431,dsDNA_phage_432"
VC_1050_0,34,51868.09612,5022.981989,0.911708792,3.19E-145,0,9.16515139,561,551,0.982174688,7.56316861,1,1,1,"MG592442,MG592450,MG592457,MG592460,MG592482,MG592483,MG592488,MG592489,MG592490,MG592502,MG592503,MG592504,MG592505,MG592516,MG592517,MG592525,MG592530,MG592532,MG592534,MG592535,MG592539,MG592543,MG592557,MG592558,MG592559,MG592576,MG592593,MG592594,MG592597,MG592598,MG592605,MG592606,MG592607,MG592631"
VC_1051_0,2,212.3452006,24.55365919,0.896353831,0.079297195,1,1,1,1,1,1,1,1,1,"HQ634153,Salicola~phage~CGphi29"
VC_1052_0,1,0,87.34598288,0,0,0,0,1,1,1,0,1,1,1,MN592896
VC_1053_0,2,300,49.74268776,0.857773473,0.270145687,0,0,1,1,1,0,1,2,2,"HQ683709,Planktothrix~phage~PaV-LD"
VC_1054_0,2,50.47149989,0,1,0,0,0,1,1,1,0,2,2,1,"Halogeometricum~pleomorphic~virus~1,JN882267"
VC_1055_0,2,39.4430335,18.53382042,0.680323799,0.144422183,0,0,1,1,1,0,2,2,1,"Halorubrum~pleomorphic~virus~3,JN882265"
VC_1056_0,2,46.30591673,18.53382042,0.714159538,0.144422183,1.414213562,1.414213562,1,1,1,1.414213562,1,1,1,"KX344510,KY264020"
VC_1057_0,2,250.0036376,367.7574199,0.4046931,0.070789432,0,0,1,1,1,0,1,1,1,"Halovirus~HCTV-2,KC292028"
VC_1058_0,2,289.817114,327.0550554,0.469817133,0.070789432,0,0,1,1,1,0,1,1,1,"Halovirus~HHTV-2,KC292024"
VC_1059_0,2,213.3896397,0,1,0,0,0,1,1,1,0,1,1,1,"Halovirus~HHTV-1,KC292025"
VC_105_0,32,42808.55921,3185.731407,0.930736373,1.66E-54,0,4.472135955,496,496,1,3.077062521,3,2,2,"AB647160,AB731695,Helicobacter~phage~1961P,Helicobacter~phage~KHP30,Helicobacter~phage~KHP40,Helicobacter~phage~phiHP33,JF734911,JQ617284,KX119174,KX119175,KX119176,KX119177,KX119182,KX119188,KX119189,KX119190,KX119191,KX119192,KX119193,KX119194,KX119195,KX119196,KX119197,KX119198,KX119199,KX119200,KX119201,KX119202,KX119203,KX119204,KX119205,KX119206"
VC_1060_0,2,235.3845434,112.6719385,0.676282603,0.270145687,0,0,1,1,1,0,1,1,1,"Halovirus~HRTV-4,KC292023"
VC_1061_0,2,173.7071363,0,1,0,1.414213562,1.414213562,1,1,1,1.414213562,1,1,1,"Halovirus~HSTV-1,KC117378"
VC_1062_0,2,86.03225141,0,1,0,0,0,1,1,1,0,1,1,1,"Hydrogenobaculum~phage~1,KP282676"
VC_1064_0,7,1444.312339,487.0350318,0.74782629,3.41E-13,0,9.327379053,21,15,0.714285714,8.077447774,1,2,2,"KC542353,KP994596,KU747973,MK387309,MN313256,MT002874,Pseudoalteromonas~phage~H103"
VC_1065_0,2,165.0937543,752.7515265,0.179871006,0.047087582,1.414213562,1.414213562,1,1,1,1.414213562,1,2,2,"JF270478,Psychrobacter~phage~Psymv2"
VC_1066_0,2,165.8970604,169.9583093,0.493953872,0.070789432,0,0,1,1,1,0,1,2,2,"KP792623,Rhodoferax~phage~P26218"
VC_1068_0,2,200.3126009,354.8053189,0.360846937,0.058219991,0,0,1,1,1,0,1,2,2,"JN190960,Rhodobacter~phage~RcapMu"
VC_1069_0,16,35958.7193,0,1,0,0,5.291502622,120,120,1,3.223499746,2,2,2,"JF704100,KJ538721,KX159477,MG757167,MH727553,MH727562,MK061407,MK279842,MK305892,MK494123,MN329674,MN329676,MN428056,MN428061,Mycobacterium~phage~Marvin,Mycobacterium~phage~MosMoris"
VC_106_0,2,271.4111237,294.2807415,0.479786153,0.050849941,1.732050808,1.732050808,1,1,1,1.732050808,1,2,2,"AB711120,Bacillus~phage~PM1"
VC_1070_0,39,157629.9453,37216.53216,0.808995612,3.56E-209,0,7.416198487,741,741,1,5.103614085,3,2,2,"JF704107,JN083852,JN083853,JN408459,JQ684677,JX042578,KF017001,KF493882,KF560330,KM101118,KT004677,KT246486,KT438501,MG099934,MG099937,MG099938,MG099944,MG099949,MH020239,MH051250,MH051254,MH051256,MH338235,MH338241,MK305887,MK494091,MN096372,MN586016,MN586060,MN586062,MN617844,Mycobacterium~phage~Chadwick,Mycobacterium~phage~Conspiracy,Mycobacterium~phage~Jovo,Mycobacterium~phage~LittleCherry,Mycobacterium~phage~Swirley,Mycobacterium~phage~Theia,Mycobacterium~phage~Tiger,Mycobacterium~phage~UnionJack"
VC_1071_0,3,275.3755517,0,1,0,1,2.828427125,3,3,1,2.158059479,1,1,1,"JF917095,JQ010983,Thermococcus~prieurii~virus~1"
VC_1072_0,6,1980.322714,347.8196722,0.850602062,6.94E-10,0,8.124038405,15,15,1,6.478058502,1,1,1,"MG592398,MG592496,MG592497,MG592584,MG592612,MG592613"
VC_1073_0,2,134.5556312,232.9340596,0.366148043,0.050512962,6.08276253,6.08276253,1,1,1,6.08276253,1,1,1,"MG592452,MG592580"
VC_1074_0,2,235.6558869,0,1,0,1,1,1,1,1,1,1,2,2,"JF974295,Psychrobacter~phage~pOW20-A"
VC_1075_0,8,3749.356332,2098.474668,0.641153332,2.12E-17,2.828427125,7.681145748,28,28,1,6.554419599,1,1,1,"MG592429,MG592438,MG592487,MG592566,MG592654,MG592657,MG592658,MG592659"
VC_1076_0,2,300,234.8019778,0.560955293,0.087622123,0,0,1,1,1,0,1,2,2,"KJ746502,Rhizobium~phage~vB_RleM_PPF1"
VC_1077_0,2,15.02710838,66.51092916,0.184295684,0.279817631,7.745966692,7.745966692,1,1,1,7.745966692,1,1,1,"MF614627,MF614628"
VC_1078_0,11,6083.071263,447.9590321,0.931410664,6.75E-22,0,7.416198487,55,55,1,5.504532133,1,2,2,"JX182371,KY092479,KY092480,KY092481,KY092482,KY092483,KY092484,KY676784,MH825699,MK305888,Streptomyces~phage~SV1"
VC_1079_0,2,270.1750975,0,1,0,1.414213562,1.414213562,1,1,1,1.414213562,1,2,2,"JN116825,Rhodococcus~phage~REQ1"
VC_107_0,7,3385.096303,511.4435773,0.86874417,3.22E-12,2.449489743,7.615773106,21,21,1,5.976010602,1,2,2,"Bacillus~phage~SPP1,MH752385,MN013088,MN176219,MN176227,MN176228,X97918"
VC_1080_0,40,162699.3032,217.3695229,0.998665763,6.19E-27,0,5.916079783,780,780,1,2.568962658,3,2,2,"JN116826,JN116827,KT372002,KT375356,KT959213,KT990218,KX550082,KX611788,KX712236,KX712237,KY549153,KY549154,MF189179,MF324898,MF324900,MF324901,MF324902,MF324903,MF324904,MF324905,MF373842,MF537628,MH271291,MH271293,MH271294,MH271297,MH271299,MH271306,MH271309,MH271311,MH271314,MH271315,MH271319,MH316569,MK524487,MK524495,MN945902,Rhodococcus~phage~CosmicSans,Rhodococcus~phage~RER2,Rhodococcus~virus~RGL3"
VC_1081_0,2,53.00180786,46.58855019,0.532198186,0.270145687,2,2,1,1,1,2,1,1,1,"dsDNA_phage_400,dsDNA_phage_546"
VC_1082_0,3,498.103639,0,1,0,1,5.477225575,3,3,1,3.954130127,1,2,2,"JN116828,KF879863,Nocardia~phage~NBR1"
VC_1083_0,2,204.2138542,189.6137093,0.518536215,0.052318285,2.645751311,2.645751311,1,1,1,2.645751311,1,2,2,"JN175269,Pseudomonas~phage~phiPto-bp6g"
VC_1084_0,2,300,436.041242,0.407585856,0.048324119,1,1,1,1,1,1,2,2,2,"KU862660,Pseudomonas~phage~phiPMW"
VC_1084_1,1,0,692.60622,0,0,0,0,1,1,1,0,1,1,1,dsDNA_phage_131
VC_1085_0,2,178.3632888,0,1,0,0,0,1,1,1,0,1,1,1,"JN880423,Salisaeta~icosahedral~phage~1"
VC_1086_0,2,227.5560323,35.3547765,0.865525588,0.144422183,0,0,1,1,1,0,1,1,1,"JQ066768,Rhodobacter~phage~RcapNL"
VC_1087_0,2,1.506669733,4.583863079,0.24737897,0.270145687,8.246211251,8.246211251,1,1,1,8.246211251,1,1,1,"MG711465,dsDNA_phage_198"
VC_1088_0,5,3000,15593.71897,0.161344807,8.50E-08,0,5.656854249,10,10,1,4.115097758,2,2,2,"KP280063,KY883654,KY883655,Vibrio~phage~JSF10,Vibrio~phage~phi~3"
VC_1088_1,14,27300,21801.05873,0.555996158,6.15E-44,1,9.38083152,91,74,0.813186813,7.502242161,2,2,2,"JQ340389,LC487410,MG649966,MG649967,MK796244,MK895508,MK907780,MN958086,MN966730,MN966731,MN966732,Vibrio~phage~Ceto,Vibrio~phage~Thalassa,Vibrio~phage~pVp-1"
VC_1088_2,1,0,4312.049269,0,0,0,0,1,1,1,0,1,1,1,KT345706
VC_108_0,3,496.9711582,623.5224956,0.443528758,0.002686187,1.732050808,5.567764363,3,3,1,4.259013582,2,2,2,"Geobacillus~phage~TP-84,KY565347,MH884514"
VC_1090_0,2,166.9026662,0,1,0,0,0,1,1,1,0,1,2,2,"JQ341413,Weissella~phage~phiYS61"
VC_1091_0,13,23331.75565,0,1,0,0,5.099019514,78,78,1,3.615562914,2,2,2,"JQ692107,JX556418,MF754113,MF754114,MF754115,MF754116,MG602476,MG893203,MH599087,MH925090,MN215888,Vibrio~phage~SSP002,Vibrio~phage~vB_VpaS_MAR10"
VC_1092_0,2,4.473817187,91.60369678,0.046564664,0.192493452,3.605551275,3.605551275,1,1,1,3.605551275,1,1,1,"dsDNA_phage_222,dsDNA_phage_249"
VC_1093_0,4,1087.374138,59.08203313,0.948465511,0.006960957,2,4.123105626,6,6,1,3.22795913,2,2,2,"JQ823122,JQ823123,Nonlabens~phage~P12024L,Nonlabens~phage~P12024S"
VC_1094_0,2,300,242.7709713,0.552719316,0.076424876,0,0,1,1,1,0,2,2,2,"JX483881,Rhizobium~phage~RHEph10"
VC_1095_0,3,722.5589417,340.8076006,0.679501294,0.00565938,1,7.745966692,3,3,1,5.475704147,2,2,2,"JQ965645,MK422451,Salmonella~phage~SSU5"
VC_1096_0,2,300,260.488746,0.535247143,0.075007761,0,0,1,1,1,0,2,2,2,"MG018927,Pseudomonas~phage~nickie"
VC_1097_0,13,14928.63813,2028.493159,0.880375217,2.76E-25,0,7.141428429,78,78,1,4.154511446,3,2,2,"KP876465,KP876466,KT989433,KU189325,KU530220,KY365739,MF975638,MH178381,MH178382,MK686071,Streptomyces~phage~TP1604,Streptomyces~phage~YDN12,Streptomyces~phage~phiSAJS1"
VC_1098_0,25,56785.23498,33626.37249,0.628074609,2.19E-165,1,9,300,299,0.996666667,5.875741417,2,2,2,"JX182369,JX182370,JX262376,MF766044,MF766045,MF766046,MF766047,MF766048,MG593802,MH001460,MH590601,MH651190,MH669004,MH669016,MK392363,MK392364,MK392365,MK392366,MK460245,MK524524,MN234192,MN234208,MT310863,Streptomyces~phage~R4,Streptomyces~phage~phiELB20"
VC_1099_0,57,222943.9963,45189.03919,0.831467842,0,0,9.539392014,1596,1495,0.936716792,6.752241713,3,2,2,"JX889246,KC700556,KC700557,KC700558,KT124227,KT124228,KT124229,KT152029,KT184390,KT184391,KT186228,KT186229,KX344445,KX507343,KX507344,KX507345,KX815338,MF541403,MF541404,MF541405,MF541406,MF541407,MF541408,MF541409,MF541410,MG298964,MG757163,MH171093,MH171094,MH171095,MH171096,MH171097,MH171098,MH248947,MK433270,MK433271,MK433276,MK433278,MN096373,MN096375,MN096379,MN096381,MN204498,MN284899,MN586009,Streptomyces~phage~Aaronocolus,Streptomyces~phage~Amela,Streptomyces~phage~Caliburn,Streptomyces~phage~Danzina,Streptomyces~phage~Hydra,Streptomyces~phage~Izzy,Streptomyces~phage~Lannister,Streptomyces~phage~Lika,Streptomyces~phage~Nanodon,Streptomyces~phage~Sujidade,Streptomyces~phage~Zemlya,Streptomyces~phage~phiCAM"
VC_109_0,6,4196.936978,1288.116595,0.765158794,2.52E-09,1,3.31662479,15,15,1,2.543781844,1,1,1,"MN176222,MN176223,MN176224,MN176225,MN176226,MN176229"
VC_10_0,26,32558.71375,52410.01708,0.383184654,9.11E-190,0,9.055385138,325,320,0.984615385,7.333190049,2,2,2,"AP011955,AP011956,AY508486,DQ530361,GQ398772,KC595278,KF831354,KJ452292,KJ596420,KT809368,KT809369,KT878766,KY653123,MG029510,MG029512,MH384259,MH401416,Staphylococcus~phage~23MRA,Staphylococcus~phage~P954,Staphylococcus~phage~StauST398-4,Staphylococcus~phage~phi5967PVL,Staphylococcus~phage~phiBU01,Staphylococcus~phage~phiN315,Staphylococcus~phage~phiNM3,Staphylococcus~phage~phiSa119,Staphylococcus~virus~77"
VC_1104_0,4,1004.691422,798.9885135,0.557023118,2.00E-05,1.414213562,2.236067977,6,6,1,1.75476612,1,2,2,"KJ183191,KJ183192,KJ183193,Podovirus~Lau218"
VC_1105_0,6,4500,1266.535197,0.780364612,1.65E-10,0,4.472135955,15,15,1,3.557050544,1,1,1,"LR797735,LT546029,LT546030,LT615366,MT119360,MT119361"
VC_1107_0,14,1155.340759,1731.497527,0.400209726,7.40E-48,0,1.732050808,91,91,1,0.596829908,1,2,1,"KC131021,MH572341,MH572342,MH572343,MH572399,MH572400,MH572401,MH572402,MH572403,MH572453,MH572454,MH572513,MH572514,Marine~gokushovirus"
