"vOTU","GENOME_LENGTH","CHECKV_QUALITY","LIFE_CYCLE","TOTAL_METAGENOME_PRESENCE","METATRANSCRIPTOME_PRESENCE","DNA_VIROME_PRESENCE","HOST_GENBANK_ACCESSION","HOST_GENUS","HOST_NAME","VC","SUBCLUSTER","REF_PHAGES_IN_VC","VC_IDENTITY","FAMILY","SPECIES","C1RH","C1S","C2RH","C2S","C3RH","C3S","C4RH","C4S","V1RH","V1S","V2RH","V2S","V3RH","V3S","V4RH","V4S"
"dsDNA_phage_1019",13707,"Not-determined","LYTIC",0,1,0,"GCA_000263795.2","Hydrogenophaga","Hydrogenophaga sp. PBC",NA,NA,NA,NA,NA,NA,1219,0,885,0,919,0,1406,0,0,0,0,0,0,0,0,0
"dsDNA_phage_102",11920,"Not-determined","LYTIC",1,0,0,"GCA_000015725.1","Methylibium","Methylibium petroleiphilum PM1",NA,NA,NA,NA,NA,NA,0,0,0,160,0,152,0,0,0,0,203,0,231,0,0,178
"dsDNA_phage_1020",13272,"Not-determined","LYTIC",0,1,0,"GCA_000215705.1","Ramlibacter","Ramlibacter tataouinensis TTB310",NA,NA,NA,NA,NA,NA,7142,0,5617,0,2955,5856,7338,5400,0,0,0,0,6066,0,0,0
"dsDNA_phage_1021",13190,"Not-determined","LYTIC",0,1,0,"GCA_001854285.1","Cupriavidus","Cupriavidus sp. USMAHM13",1452,0,"NO","OUTLIER",NA,NA,697,0,517,0,545,0,555,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1022",13168,"Not-determined","LYTIC",0,1,0,"GCA_000176855.2","Acidovorax","Acidovorax avenae subsp. avenae ATCC 19860",1453,0,"NO","VC",NA,NA,964,0,574,0,682,0,790,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1023",16265,"Not-determined","LYTIC",0,1,0,"GCA_001562215.1","Stenotrophomonas","Stenotrophomonas sp. KCTC 12332",1450,0,"NO","VC",NA,NA,296,0,0,0,0,0,720,0,871,0,316,0,487,0,0,0
"dsDNA_phage_1024",10730,"High-quality","LYTIC",0,1,0,NA,NA,NA,1454,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1025",10723,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1026",10715,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1027",10313,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1028",11809,"Low-quality","LYTIC",0,1,0,"GCA_000317475.1","Oscillatoria","Oscillatoria nigro-viridis PCC 7112",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1029",11764,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_103",19270,"Low-quality","LYTIC",1,0,0,NA,NA,NA,1455,0,"NO","VC",NA,NA,0,677,0,0,0,0,0,0,0,0,0,370,0,209,0,0
"dsDNA_phage_1030",10814,"Not-determined","LYTIC",0,1,0,"GCA_000317475.1","Oscillatoria","Oscillatoria nigro-viridis PCC 7112",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1031",10427,"Not-determined","LYTIC",0,1,0,"GCA_002305875.1","Cystobacter","Cystobacter fuscus",1450,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1032",10048,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1033",14596,"Not-determined","LYTIC",0,1,0,"GCA_002356155.1","Microbacterium","Microbacterium sp. TPU 3598",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1034",14553,"Not-determined","LYTIC",0,1,0,"GCA_002257585.1","Mucilaginibacter","Mucilaginibacter sp. BJC16-A31",1450,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1035",13884,"Not-determined","LYTIC",0,1,0,"GCA_001663115.1","Serratia","Serratia plymuthica",1450,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1036",12409,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1037",11056,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1038",10901,"High-quality","LYTIC",0,1,0,NA,NA,NA,1454,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1039",10758,"Not-determined","LYTIC",0,1,0,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_104",29338,"Medium-quality","LYTIC",1,0,0,NA,NA,NA,1359,0,"NO","OUTLIER",NA,NA,0,0,779,0,327,0,526,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1040",10458,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1041",10338,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1042",10112,"Not-determined","LYTIC",0,1,0,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1043",23197,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1044",14074,"Low-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1045",10845,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1046",10288,"High-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1047",11335,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1048",11323,"Not-determined","LYTIC",0,1,0,NA,NA,NA,1456,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1049",11255,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_105",44785,"Low-quality","LYTIC",1,0,1,NA,NA,NA,1151,0,"NO","VC",NA,NA,594,0,311,0,1670,0,4638,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1050",11224,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1051",11178,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1052",17687,"Not-determined","TEMPERATE",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1053",17121,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1054",17052,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1055",16784,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1056",15873,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1057",15861,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1058",15275,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1059",14608,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_106",11291,"Low-quality","LYTIC",1,0,0,"GCA_000816465.4","Streptomyces","Streptomyces pluripotens",NA,NA,NA,NA,NA,NA,232,161,0,0,0,0,256,0,0,0,0,0,0,0,0,0
"dsDNA_phage_107",11837,"Low-quality","TEMPERATE",1,0,0,"GCA_001610895.1","Planctomyces","Planctomyces sp. SH-PL62",1445,0,"NO","VC",NA,NA,182,0,0,150,0,120,0,150,0,0,0,0,0,0,0,0
"dsDNA_phage_108",11030,"Low-quality","LYTIC",1,0,0,"GCA_001483865.1","Roseateles","Roseateles depolymerans",NA,NA,NA,NA,NA,NA,356,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0
"dsDNA_phage_109",10311,"Not-determined","LYTIC",1,0,0,NA,NA,NA,1457,0,"NO","VC",NA,NA,0,0,0,0,0,0,146,0,0,0,105,0,0,0,0,0
"dsDNA_phage_11",13080,"Low-quality","LYTIC",1,0,0,"GCA_000025265.1","Conexibacter","Conexibacter woesei DSM 14684",1458,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_110",13467,"Low-quality","LYTIC",1,0,0,NA,NA,NA,1459,0,"NO","VC",NA,NA,586,0,1459,0,0,0,469,0,0,0,0,0,0,0,0,0
"dsDNA_phage_111",11003,"Not-determined","LYTIC",1,0,0,"GCA_000525635.1","Kutzneria","Kutzneria albida DSM 43870",NA,NA,NA,NA,NA,NA,0,0,0,139,0,134,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_112",19870,"Low-quality","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_113",11846,"Not-determined","TEMPERATE",1,0,0,"GCA_001189295.1","Chondromyces","Chondromyces crocatus",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,253,185,0,0,0,0,0,209
"dsDNA_phage_114",15141,"Low-quality","LYTIC",1,0,0,"GCA_000525635.1","Kutzneria","Kutzneria albida DSM 43870",NA,NA,NA,NA,NA,NA,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_115",10483,"Low-quality","LYTIC",1,0,0,"GCA_000418325.1","Sorangium","Sorangium cellulosum So0157-2",1461,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_116",12633,"Not-determined","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
"dsDNA_phage_117",14198,"Low-quality","TEMPERATE",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,296,879,0,257,0,0,0,0,258,340,424,585,168,183
"dsDNA_phage_118",12485,"Low-quality","LYTIC",1,0,0,"GCA_000463015.1","Variovorax","Variovorax paradoxus B4",NA,NA,NA,NA,NA,NA,827,0,393,0,276,0,442,0,170,0,0,0,275,0,139,0
"dsDNA_phage_119",37881,"High-quality","LYTIC",1,0,0,"GCA_002355415.1","Sulfurifustis","Sulfurifustis variabilis",NA,NA,NA,NA,NA,NA,0,0,692,0,0,0,1700,0,0,0,0,0,0,0,0,0
"dsDNA_phage_12",10637,"Low-quality","LYTIC",1,0,0,"GCA_001189295.1","Chondromyces","Chondromyces crocatus",1462,0,"NO","VC",NA,NA,182,180,0,0,0,259,0,181,179,170,189,132,0,0,0,277
"dsDNA_phage_120",10586,"Low-quality","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_121",10824,"Low-quality","LYTIC",1,0,0,"GCA_001266755.1","Microbacterium","Microbacterium sp. CGR1",1455,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0
"dsDNA_phage_122",25835,"Low-quality","LYTIC",1,0,0,"GCA_001190945.1","Luteipulveratus","Luteipulveratus mongoliensis",NA,NA,NA,NA,NA,NA,0,0,0,383,0,296,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_123",14572,"Low-quality","LYTIC",1,0,0,NA,NA,NA,1463,0,"NO","OUTLIER",NA,NA,722,0,204,0,0,0,0,0,0,0,302,0,239,0,0,0
"dsDNA_phage_124",49785,"Medium-quality","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,765,0,0,0,1331,0,0,0,0,0,0,0,0,0
"dsDNA_phage_125",10043,"Not-determined","LYTIC",1,0,0,"GCA_001618865.1","Luteitalea","Luteitalea pratensis",1457,0,"NO","VC",NA,NA,0,0,0,0,0,168,157,0,0,0,0,0,0,0,0,163
"dsDNA_phage_126",13304,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,0
"dsDNA_phage_127",17139,"Low-quality","LYTIC",0,0,1,"GCA_001190945.1","Luteipulveratus","Luteipulveratus mongoliensis",1464,0,"NO","VC",NA,NA,0,0,0,0,0,0,3780,0,0,0,0,0,0,0,0,0
"dsDNA_phage_128",10484,"Not-determined","LYTIC",0,0,1,"GCA_000934565.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3168,0,0,0,0
"dsDNA_phage_129",10589,"Low-quality","LYTIC",0,0,1,"GCA_000599545.1","Rhodococcus","Rhodococcus opacus PD630",NA,NA,NA,NA,NA,NA,0,0,0,0,225,0,1088,0,0,0,0,0,0,0,0,0
"dsDNA_phage_13",10075,"Low-quality","LYTIC",1,0,0,"GCA_000993785.2","Streptomyces","Streptomyces xiamenensis",NA,NA,NA,NA,NA,NA,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_130",11722,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0
"dsDNA_phage_131",106079,"Complete","LYTIC",0,0,1,NA,NA,NA,1084,1,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,2542,0,29981,0,0,0
"dsDNA_phage_132",19263,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1254,0,"YES","OUTLIER",NA,NA,0,735,0,0,864,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_133",17079,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1373,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_134",10609,"Low-quality","LYTIC",0,0,1,"GCA_001263205.1","Labilithrix","Labilithrix luteola",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0
"dsDNA_phage_135",36078,"High-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4012,0,0,0,0,0,0,0,0,0
"dsDNA_phage_136",11931,"Medium-quality","LYTIC",0,0,1,"GCA_001641025.1","Staphylococcus","Staphylococcus aureus",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1617,0,0,0
"dsDNA_phage_137",41670,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,1418,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,137688,0,0,0,0
"dsDNA_phage_138",13447,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1466,0,"NO","VC",NA,NA,0,0,0,0,3020,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_139",11828,"Not-determined","LYTIC",0,0,1,"GCA_001708445.1","Pseudomonas","Pseudomonas fluorescens",1467,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,2291,0,0,0,0
"dsDNA_phage_14",10703,"Not-determined","LYTIC",1,0,0,"GCA_001618865.1","Luteitalea","Luteitalea pratensis",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_140",16554,"Low-quality","LYTIC",0,0,1,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",NA,NA,NA,NA,NA,NA,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_141",10000,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,989,0,0,0,0
"dsDNA_phage_142",16218,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,658,0,1379,0,0,0,184,0,0,0,0,0
"dsDNA_phage_143",10464,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",1468,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,4166,0,0,0,0
"dsDNA_phage_144",16822,"Not-determined","TEMPERATE",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4956,0,0,0,0
"dsDNA_phage_145",13250,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2997,0,0,0,0
"dsDNA_phage_146",20289,"Low-quality","LYTIC",0,0,1,NA,NA,NA,989,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,13924,0,0,0,0
"dsDNA_phage_147",21411,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1469,0,"NO","VC",NA,NA,0,0,0,0,244,0,1016,0,0,0,0,0,0,0,0,0
"dsDNA_phage_148",25529,"Low-quality","LYTIC",0,0,1,"GCA_001456115.1","Sphingobium","Sphingobium baderi",1048,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,7930,0,0,0,0,0,0,0,0,0
"dsDNA_phage_149",10097,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,150,0,192,0,0,0,0,0,0,0,0,0
"dsDNA_phage_15",17437,"Low-quality","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,284,1310,0,324,0,0,0,0,296,440,483,626,180,220
"dsDNA_phage_150",48433,"Complete","LYTIC",0,0,1,NA,NA,NA,292,0,"YES","VC","Siphoviridae",NA,0,0,6621,0,334612,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_151",12633,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2442,0,0,0,0
"dsDNA_phage_152",11627,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",1470,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,2888,0,0,0,0
"dsDNA_phage_153",12832,"Low-quality","LYTIC",0,0,1,"GCA_001278075.1","Streptomyces","Streptomyces pristinaespiralis",NA,NA,NA,NA,NA,NA,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_154",10737,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",1467,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_155",14851,"Low-quality","TEMPERATE",0,0,1,"GCA_001650215.1","Streptomyces","Streptomyces sp. RTd22",NA,NA,NA,NA,NA,NA,308,0,541,0,1616,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_156",14522,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",1471,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,4748,0,0,0,0
"dsDNA_phage_157",16642,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0
